 0,19 ; 0,23 ;;{(0, 10): [1305, 1233], (11, 20): [728, 701], (21, 30): [488, 475], (31, 40): [200, 222], (41, 50): [143, 131], (51, 60): [64, 98], (61, 70): [37, 43], (71, 80): [37, 46], (81, 90): [8, 26], (91, 100): [4, 39]};;;;;;;;;;;
 0,07 ; 0,16 ;;;;;;;;;;;;;
 0,36 ; 0,41 ;;;;;;;;;;;;;
 0,08 ; 0,10 ;;;;;;;;;;;;;
 0,35 ; 0,52 ;;;;;;;;;;;;;
 0,11 ; 0,29 ;;;;;;;;;;;;;
 0,39 ; 0,48 ;;;;;;;;;;;;;
 0,39 ; 0,47 ;;;;;;;;;;;;;
 0,31 ; 0,35 ;;;;;;;;;;;;;
 0,10 ; 0,12 ;;;;;;;;;;;;;
 0,16 ; 0,33 ;;;;;;;;;;;;;
 0,28 ; 0,34 ;;;;;;;;;;;;;
 0,47 ; 0,51 ;;;;;;;;;;;;;
 0,39 ; 0,51 ;;;;;;;;;;;;;
 0,40 ; 0,46 ;;;;;;;;;;;;;
 0,37 ; 0,50 ;;;;;;;;;;;;;
 0,35 ; 0,46 ;;;;;;;;;;;;;
 0,07 ; 0,15 ;;;;;;;;;;;;;
 0,21 ; 0,35 ;;;;;;;;;;;;;
 0,47 ; 0,71 ;;;;;;;;;;;;;
 0,35 ; 0,38 ;;;;;;;;;;;;;
 0,19 ; 0,44 ;;;;;;;;;;;;;
 0,24 ; 0,52 ;;;;;;;;;;;;;
 0,66 ; 0,71 ;;;;;;;;;;;;;
 0,19 ; 0,23 ;;;;;;;;;;;;;
 0,38 ; 0,43 ;;;;;;;;;;;;;
 0,18 ; 0,21 ;;;;;;;;;;;;;
 0,27 ; 0,58 ;;;;;;;;;;;;;
 0,20 ; 0,22 ;;;;;;;;;;;;;
 0,22 ; 0,31 ;;;;;;;;;;;;;
 0,39 ; 0,43 ;;;;;;;;;;;;;
 0,54 ; 0,57 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,31 ; 0,38 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,31 ; 0,38 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,25 ; 0,29 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,24 ; 0,28 ;;;;;;;;;;;;;
 0,29 ; 0,56 ;;;;;;;;;;;;;
 0,59 ; 0,62 ;;;;;;;;;;;;;
 0,33 ; 0,38 ;;;;;;;;;;;;;
 0,22 ; 0,26 ;;;;;;;;;;;;;
 0,21 ; 0,22 ;;;;;;;;;;;;;
 0,19 ; 0,20 ;;;;;;;;;;;;;
 0,18 ; 0,23 ;;;;;;;;;;;;;
 0,85 ; 0,85 ;;;;;;;;;;;;;
 0,13 ; 0,15 ;;;;;;;;;;;;;
 0,37 ; 0,60 ;;;;;;;;;;;;;
 0,11 ; 0,12 ;;;;;;;;;;;;;
 0,07 ; 0,08 ;;;;;;;;;;;;;
 0,19 ; 0,21 ;;;;;;;;;;;;;
 0,11 ; 0,19 ;;;;;;;;;;;;;
 0,83 ; 0,83 ;;;;;;;;;;;;;
 0,61 ; 0,67 ;;;;;;;;;;;;;
 0,11 ; 0,19 ;;;;;;;;;;;;;
 0,15 ; 0,19 ;;;;;;;;;;;;;
 0,15 ; 0,19 ;;;;;;;;;;;;;
 0,09 ; 0,10 ;;;;;;;;;;;;;
 0,05 ; 0,08 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,25 ; 0,30 ;;;;;;;;;;;;;
 0,24 ; 0,40 ;;;;;;;;;;;;;
 0,31 ; 0,35 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,43 ; 0,43 ;;;;;;;;;;;;;
 0,30 ; 0,38 ;;;;;;;;;;;;;
 0,28 ; 0,33 ;;;;;;;;;;;;;
 0,19 ; 0,24 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,13 ; 0,19 ;;;;;;;;;;;;;
 0,22 ; 0,42 ;;;;;;;;;;;;;
 0,21 ; 0,40 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,08 ; 0,13 ;;;;;;;;;;;;;
 0,10 ; 0,11 ;;;;;;;;;;;;;
 0,17 ; 0,20 ;;;;;;;;;;;;;
 0,04 ; 0,18 ;;;;;;;;;;;;;
 0,07 ; 0,18 ;;;;;;;;;;;;;
 0,39 ; 0,61 ;;;;;;;;;;;;;
 0,10 ; 0,63 ;;;;;;;;;;;;;
 0,12 ; 0,17 ;;;;;;;;;;;;;
 0,10 ; 0,11 ;;;;;;;;;;;;;
 0,06 ; 0,23 ;;;;;;;;;;;;;
 0,03 ; 0,18 ;;;;;;;;;;;;;
 0,42 ; 0,42 ;;;;;;;;;;;;;
 0,41 ; 0,41 ;;;;;;;;;;;;;
 0,43 ; 0,59 ;;;;;;;;;;;;;
 0,64 ; 0,64 ;;;;;;;;;;;;;
 0,52 ; 0,52 ;;;;;;;;;;;;;
 0,53 ; 0,56 ;;;;;;;;;;;;;
 0,40 ; 0,52 ;;;;;;;;;;;;;
 0,49 ; 0,49 ;;;;;;;;;;;;;
 0,46 ; 0,46 ;;;;;;;;;;;;;
 0,40 ; 0,53 ;;;;;;;;;;;;;
 0,49 ; 0,49 ;;;;;;;;;;;;;
 0,51 ; 0,51 ;;;;;;;;;;;;;
 0,42 ; 0,46 ;;;;;;;;;;;;;
 0,41 ; 0,44 ;;;;;;;;;;;;;
 0,32 ; 0,32 ;;;;;;;;;;;;;
 0,18 ; 0,26 ;;;;;;;;;;;;;
 0,14 ; 0,92 ;;;;;;;;;;;;;
 0,17 ; 0,90 ;;;;;;;;;;;;;
 0,42 ; 0,42 ;;;;;;;;;;;;;
 0,39 ; 0,39 ;;;;;;;;;;;;;
 0,72 ; 0,72 ;;;;;;;;;;;;;
 0,16 ; 0,82 ;;;;;;;;;;;;;
 0,71 ; 0,71 ;;;;;;;;;;;;;
 0,53 ; 0,84 ;;;;;;;;;;;;;
 0,38 ; 0,38 ;;;;;;;;;;;;;
 0,01 ; 0,06 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,04 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,08 ;;;;;;;;;;;;;
 0,01 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,03 ;;;;;;;;;;;;;
 0,28 ; 0,73 ;;;;;;;;;;;;;
 0,53 ; 0,78 ;;;;;;;;;;;;;
 0,11 ; 0,13 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,14 ; 0,18 ;;;;;;;;;;;;;
 0,07 ; 0,13 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,20 ; 0,32 ;;;;;;;;;;;;;
 0,06 ; 0,08 ;;;;;;;;;;;;;
 0,08 ; 0,13 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,56 ; 0,58 ;;;;;;;;;;;;;
 0,14 ; 0,19 ;;;;;;;;;;;;;
 0,24 ; 0,78 ;;;;;;;;;;;;;
 0,17 ; 0,26 ;;;;;;;;;;;;;
 0,10 ; 0,28 ;;;;;;;;;;;;;
 0,15 ; 0,43 ;;;;;;;;;;;;;
 0,12 ; 0,34 ;;;;;;;;;;;;;
 0,21 ; 0,32 ;;;;;;;;;;;;;
 0,13 ; 0,23 ;;;;;;;;;;;;;
 0,28 ; 0,71 ;;;;;;;;;;;;;
 0,19 ; 0,29 ;;;;;;;;;;;;;
 0,13 ; 0,44 ;;;;;;;;;;;;;
 0,47 ; 0,50 ;;;;;;;;;;;;;
 0,08 ; 0,14 ;;;;;;;;;;;;;
 0,10 ; 0,16 ;;;;;;;;;;;;;
 0,20 ; 0,49 ;;;;;;;;;;;;;
 0,45 ; 0,45 ;;;;;;;;;;;;;
 0,19 ; 0,85 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,28 ; 0,30 ;;;;;;;;;;;;;
 0,07 ; 0,08 ;;;;;;;;;;;;;
 0,19 ; 0,21 ;;;;;;;;;;;;;
 0,36 ; 0,48 ;;;;;;;;;;;;;
 0,20 ; 0,34 ;;;;;;;;;;;;;
 0,26 ; 0,41 ;;;;;;;;;;;;;
 0,21 ; 0,30 ;;;;;;;;;;;;;
 0,38 ; 0,74 ;;;;;;;;;;;;;
 0,20 ; 0,34 ;;;;;;;;;;;;;
 0,19 ; 0,29 ;;;;;;;;;;;;;
 0,26 ; 0,41 ;;;;;;;;;;;;;
 0,20 ; 0,22 ;;;;;;;;;;;;;
 0,38 ; 0,38 ;;;;;;;;;;;;;
 0,35 ; 0,38 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,16 ; 0,43 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,85 ; 0,85 ;;;;;;;;;;;;;
 0,16 ; 0,43 ;;;;;;;;;;;;;
 0,82 ; 0,82 ;;;;;;;;;;;;;
 0,07 ; 0,08 ;;;;;;;;;;;;;
 0,20 ; 0,49 ;;;;;;;;;;;;;
 0,05 ; 0,08 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,16 ; 0,18 ;;;;;;;;;;;;;
 0,19 ; 0,60 ;;;;;;;;;;;;;
 0,25 ; 0,28 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,11 ; 0,12 ;;;;;;;;;;;;;
 0,07 ; 0,07 ;;;;;;;;;;;;;
 0,46 ; 0,46 ;;;;;;;;;;;;;
 0,07 ; 0,07 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,02 ; 0,09 ;;;;;;;;;;;;;
 0,40 ; 0,64 ;;;;;;;;;;;;;
 0,48 ; 0,96 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,05 ; 0,05 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,11 ; 0,18 ;;;;;;;;;;;;;
 0,44 ; 0,54 ;;;;;;;;;;;;;
 0,29 ; 0,33 ;;;;;;;;;;;;;
 0,07 ; 0,08 ;;;;;;;;;;;;;
 0,80 ; 0,80 ;;;;;;;;;;;;;
 0,11 ; 0,68 ;;;;;;;;;;;;;
 0,24 ; 0,24 ;;;;;;;;;;;;;
 0,44 ; 0,46 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,07 ; 0,09 ;;;;;;;;;;;;;
 0,23 ; 0,26 ;;;;;;;;;;;;;
 0,30 ; 0,46 ;;;;;;;;;;;;;
 0,31 ; 0,36 ;;;;;;;;;;;;;
 0,18 ; 0,27 ;;;;;;;;;;;;;
 0,15 ; 0,17 ;;;;;;;;;;;;;
 0,28 ; 0,28 ;;;;;;;;;;;;;
 0,09 ; 0,10 ;;;;;;;;;;;;;
 0,15 ; 0,16 ;;;;;;;;;;;;;
 0,50 ; 0,50 ;;;;;;;;;;;;;
 0,46 ; 0,46 ;;;;;;;;;;;;;
 0,47 ; 0,47 ;;;;;;;;;;;;;
 0,49 ; 0,49 ;;;;;;;;;;;;;
 0,29 ; 0,37 ;;;;;;;;;;;;;
 0,38 ; 0,38 ;;;;;;;;;;;;;
 0,82 ; 0,82 ;;;;;;;;;;;;;
 0,05 ; 0,08 ;;;;;;;;;;;;;
 0,02 ; 0,05 ;;;;;;;;;;;;;
 0,11 ; 0,12 ;;;;;;;;;;;;;
 0,08 ; 0,17 ;;;;;;;;;;;;;
 0,29 ; 0,35 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,23 ; 0,31 ;;;;;;;;;;;;;
 0,37 ; 0,57 ;;;;;;;;;;;;;
 0,33 ; 0,60 ;;;;;;;;;;;;;
 0,31 ; 0,69 ;;;;;;;;;;;;;
 0,47 ; 0,47 ;;;;;;;;;;;;;
 0,02 ; 0,05 ;;;;;;;;;;;;;
 0,08 ; 0,13 ;;;;;;;;;;;;;
 0,20 ; 0,42 ;;;;;;;;;;;;;
 0,20 ; 0,42 ;;;;;;;;;;;;;
 0,06 ; 0,16 ;;;;;;;;;;;;;
 0,10 ; 0,20 ;;;;;;;;;;;;;
 0,12 ; 0,22 ;;;;;;;;;;;;;
 0,02 ; 0,05 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,01 ; 0,04 ;;;;;;;;;;;;;
 0,07 ; 0,30 ;;;;;;;;;;;;;
 0,11 ; 0,14 ;;;;;;;;;;;;;
 0,09 ; 0,26 ;;;;;;;;;;;;;
 0,19 ; 0,20 ;;;;;;;;;;;;;
 0,12 ; 0,15 ;;;;;;;;;;;;;
 0,30 ; 0,31 ;;;;;;;;;;;;;
 0,24 ; 0,33 ;;;;;;;;;;;;;
 0,13 ; 0,20 ;;;;;;;;;;;;;
 0,04 ; 0,43 ;;;;;;;;;;;;;
 0,25 ; 0,59 ;;;;;;;;;;;;;
 0,31 ; 0,62 ;;;;;;;;;;;;;
 0,17 ; 0,33 ;;;;;;;;;;;;;
 0,13 ; 0,35 ;;;;;;;;;;;;;
 0,51 ; 0,62 ;;;;;;;;;;;;;
 0,18 ; 0,25 ;;;;;;;;;;;;;
 0,11 ; 0,12 ;;;;;;;;;;;;;
 0,09 ; 0,11 ;;;;;;;;;;;;;
 0,11 ; 0,14 ;;;;;;;;;;;;;
 0,31 ; 0,42 ;;;;;;;;;;;;;
 0,08 ; 0,15 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,08 ;;;;;;;;;;;;;
 0,04 ; 0,08 ;;;;;;;;;;;;;
 0,04 ; 0,08 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,04 ; 0,07 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,04 ; 0,07 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,03 ; 0,22 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,07 ; 0,10 ;;;;;;;;;;;;;
 0,34 ; 0,40 ;;;;;;;;;;;;;
 0,04 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,20 ; 0,23 ;;;;;;;;;;;;;
 0,20 ; 0,22 ;;;;;;;;;;;;;
 0,17 ; 0,38 ;;;;;;;;;;;;;
 0,15 ; 0,18 ;;;;;;;;;;;;;
 0,19 ; 0,23 ;;;;;;;;;;;;;
 0,36 ; 0,43 ;;;;;;;;;;;;;
 0,47 ; 0,54 ;;;;;;;;;;;;;
 0,14 ; 0,15 ;;;;;;;;;;;;;
 0,09 ; 0,09 ;;;;;;;;;;;;;
 0,03 ; 0,22 ;;;;;;;;;;;;;
 0,21 ; 0,25 ;;;;;;;;;;;;;
 0,03 ; 0,13 ;;;;;;;;;;;;;
 0,67 ; 0,86 ;;;;;;;;;;;;;
 0,56 ; 0,65 ;;;;;;;;;;;;;
 0,41 ; 0,46 ;;;;;;;;;;;;;
 0,66 ; 0,88 ;;;;;;;;;;;;;
 0,13 ; 0,15 ;;;;;;;;;;;;;
 0,37 ; 0,66 ;;;;;;;;;;;;;
 0,41 ; 0,50 ;;;;;;;;;;;;;
 0,22 ; 0,26 ;;;;;;;;;;;;;
 0,41 ; 0,46 ;;;;;;;;;;;;;
 0,21 ; 0,23 ;;;;;;;;;;;;;
 0,19 ; 0,28 ;;;;;;;;;;;;;
 0,26 ; 0,29 ;;;;;;;;;;;;;
 0,31 ; 0,35 ;;;;;;;;;;;;;
 0,75 ; 0,75 ;;;;;;;;;;;;;
 0,75 ; 0,75 ;;;;;;;;;;;;;
 0,75 ; 0,75 ;;;;;;;;;;;;;
 0,75 ; 0,75 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,07 ; 0,09 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,07 ; 0,10 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,06 ; 0,07 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,06 ; 0,08 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,05 ; 0,07 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,06 ; 0,07 ;;;;;;;;;;;;;
 0,07 ; 0,09 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,06 ; 0,08 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,07 ; 0,09 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,06 ; 0,08 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,08 ; 0,11 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,09 ; 0,17 ;;;;;;;;;;;;;
 0,11 ; 0,19 ;;;;;;;;;;;;;
 0,12 ; 0,14 ;;;;;;;;;;;;;
 0,19 ; 0,21 ;;;;;;;;;;;;;
 0,17 ; 0,22 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,28 ; 0,30 ;;;;;;;;;;;;;
 0,18 ; 0,18 ;;;;;;;;;;;;;
 0,09 ; 0,11 ;;;;;;;;;;;;;
 0,23 ; 0,74 ;;;;;;;;;;;;;
 0,06 ; 0,18 ;;;;;;;;;;;;;
 0,15 ; 0,43 ;;;;;;;;;;;;;
 0,21 ; 0,68 ;;;;;;;;;;;;;
 0,19 ; 0,55 ;;;;;;;;;;;;;
 0,15 ; 0,42 ;;;;;;;;;;;;;
 0,21 ; 0,68 ;;;;;;;;;;;;;
 0,24 ; 0,76 ;;;;;;;;;;;;;
 0,28 ; 0,86 ;;;;;;;;;;;;;
 0,09 ; 0,27 ;;;;;;;;;;;;;
 0,27 ; 0,86 ;;;;;;;;;;;;;
 0,19 ; 0,55 ;;;;;;;;;;;;;
 0,26 ; 0,84 ;;;;;;;;;;;;;
 0,16 ; 0,45 ;;;;;;;;;;;;;
 0,17 ; 0,49 ;;;;;;;;;;;;;
 0,22 ; 0,71 ;;;;;;;;;;;;;
 0,28 ; 0,86 ;;;;;;;;;;;;;
 0,23 ; 0,74 ;;;;;;;;;;;;;
 0,23 ; 0,74 ;;;;;;;;;;;;;
 0,23 ; 0,74 ;;;;;;;;;;;;;
 0,12 ; 0,33 ;;;;;;;;;;;;;
 0,27 ; 0,86 ;;;;;;;;;;;;;
 0,26 ; 0,84 ;;;;;;;;;;;;;
 0,26 ; 0,82 ;;;;;;;;;;;;;
 0,28 ; 0,86 ;;;;;;;;;;;;;
 0,19 ; 0,56 ;;;;;;;;;;;;;
 0,25 ; 0,80 ;;;;;;;;;;;;;
 0,27 ; 0,86 ;;;;;;;;;;;;;
 0,10 ; 0,29 ;;;;;;;;;;;;;
 0,28 ; 0,86 ;;;;;;;;;;;;;
 0,18 ; 0,52 ;;;;;;;;;;;;;
 0,18 ; 0,51 ;;;;;;;;;;;;;
 0,19 ; 0,54 ;;;;;;;;;;;;;
