filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
DABP106.COB ; 4233 ; 1939 ; 661 ; 338; 32 ; 29 ; 30; 19;  0; 0
DABP108.COB ; 1050 ; 778 ; 235 ; 125; 29 ; 29 ; 27; 21;  0; 0
DABP110.COB ; 2213 ; 1572 ; 563 ; 270; 53 ; 47 ; 53; 31;  0; 0
DABP111.COB ; 726 ; 456 ; 106 ; 43; 30 ; 28 ; 30; 19;  0; 0
DABP112.COB ; 982 ; 604 ; 171 ; 62; 28 ; 28 ; 28; 19;  0; 0
DABP113.COB ; 2172 ; 1535 ; 554 ; 268; 56 ; 56 ; 56; 38;  0; 0
DABP114.COB ; 2177 ; 1549 ; 563 ; 280; 63 ; 64 ; 63; 44;  0; 0
DABP115.COB ; 2186 ; 1556 ; 562 ; 278; 47 ; 43 ; 47; 29;  0; 0
DABP116.COB ; 3266 ; 1523 ; 502 ; 262; 81 ; 65 ; 81; 45;  0; 0
DABP117.COB ; 5303 ; 2880 ; 1091 ; 649; 23 ; 22 ; 21; 14;  0; 0
DABP120.COB ; 271 ; 265 ; 56 ; 22; 52 ; 42 ; 52; 22;  0; 0
DABP141.COB ; 1238 ; 840 ; 296 ; 112; 26 ; 26 ; 24; 17;  0; 0
DABP142.COB ; 1487 ; 850 ; 289 ; 107; 47 ; 36 ; 45; 22;  0; 0
DABP214.COB ; 2963 ; 1658 ; 591 ; 237; 43 ; 37 ; 41; 26;  0; 0
DABP216.COB ; 4629 ; 2288 ; 763 ; 392; 23 ; 22 ; 21; 14;  0; 0
DABP217.COB ; 1174 ; 720 ; 255 ; 103; 172 ; 175 ; 172; 98;  0; 0
DABP218.COB ; 1162 ; 638 ; 173 ; 85; 85 ; 95 ; 85; 57;  0; 0
DABP219.COB ; 3153 ; 1478 ; 502 ; 221; 92 ; 104 ; 92; 58;  0; 0
DABP225.COB ; 2181 ; 1284 ; 475 ; 210; 35 ; 32 ; 33; 22;  0; 0
DABP410.COB ; 2489 ; 1938 ; 833 ; 422; 26 ; 24 ; 26; 14;  0; 0
DABP411.COB ; 2505 ; 1945 ; 833 ; 422; 26 ; 24 ; 26; 14;  0; 0
DABP412.COB ; 2461 ; 1893 ; 833 ; 422; 26 ; 24 ; 26; 14;  0; 0
DABP413.COB ; 2196 ; 1511 ; 640 ; 302; 90 ; 61 ; 88; 42;  0; 0
DABP414.COB ; 1664 ; 1126 ; 429 ; 188; 58 ; 35 ; 56; 28;  0; 0
DABP415.COB ; 1734 ; 1197 ; 449 ; 197; 57 ; 34 ; 55; 27;  0; 0
DABP416.COB ; 2132 ; 1699 ; 706 ; 380; 122 ; 132 ; 120; 96;  0; 0
DABP419.COB ; 2333 ; 1655 ; 696 ; 338; 41 ; 33 ; 39; 25;  0; 0
DABP421.COB ; 2240 ; 1520 ; 603 ; 327; 31 ; 35 ; 31; 23;  0; 0
DABP422.COB ; 2419 ; 1579 ; 616 ; 318; 66 ; 75 ; 64; 45;  0; 0
DABP423.COB ; 3094 ; 2096 ; 869 ; 424; 84 ; 91 ; 82; 67;  0; 0
DABP426.COB ; 2249 ; 1723 ; 761 ; 415; 38 ; 32 ; 36; 24;  0; 0
DABP430.COB ; 1749 ; 491 ; 410 ; 34; 23 ; 22 ; 21; 14;  0; 0
DABP431.COB ; 1011 ; 757 ; 268 ; 112; 71 ; 70 ; 69; 50;  0; 0
DABP435.COB ; 1809 ; 1046 ; 426 ; 177; 23 ; 22 ; 21; 14;  0; 0
DABP437.COB ; 1936 ; 1139 ; 446 ; 215; 37 ; 22 ; 37; 14;  0; 0
DABP441.COB ; 2073 ; 1261 ; 484 ; 218; 36 ; 32 ; 35; 24;  0; 0
DABP480.COB ; 1432 ; 1259 ; 526 ; 322; 31 ; 27 ; 30; 19;  0; 0
DABP597.COB ; 569 ; 424 ; 152 ; 61; 34 ; 34 ; 32; 23;  0; 0
DABP599.COB ; 577 ; 432 ; 152 ; 62; 34 ; 34 ; 32; 23;  0; 0
DABP613.COB ; 1203 ; 785 ; 235 ; 75; 50 ; 41 ; 48; 26;  0; 0
DABP721.COB ; 441 ; 317 ; 69 ; 25; 48 ; 37 ; 48; 24;  0; 0
DABP722.COB ; 1334 ; 767 ; 185 ; 86; 55 ; 45 ; 53; 28;  0; 0
DABP723.COB ; 1442 ; 773 ; 203 ; 93; 58 ; 51 ; 58; 30;  0; 0
DABP725.COB ; 1374 ; 821 ; 198 ; 100; 22 ; 22 ; 22; 14;  0; 0
DABP726.COB ; 1390 ; 833 ; 194 ; 98; 26 ; 25 ; 25; 18;  0; 0
DABP727.COB ; 1362 ; 805 ; 184 ; 90; 26 ; 25 ; 25; 18;  0; 0
DABP728.COB ; 1391 ; 831 ; 204 ; 102; 22 ; 22 ; 22; 14;  0; 0
DABP729.COB ; 1333 ; 762 ; 181 ; 82; 23 ; 25 ; 21; 17;  0; 0
DABP731.COB ; 1248 ; 760 ; 185 ; 84; 53 ; 42 ; 51; 26;  0; 0
DABP733.COB ; 1394 ; 857 ; 232 ; 121; 27 ; 30 ; 27; 18;  0; 0
DABP736.COB ; 3250 ; 1225 ; 289 ; 161; 60 ; 53 ; 60; 34;  0; 0
DABP738.COB ; 3962 ; 1316 ; 313 ; 170; 29 ; 30 ; 29; 20;  0; 0
DABP801.COB ; 2029 ; 1383 ; 515 ; 234; 34 ; 34 ; 32; 23;  0; 0
DABP807.COB ; 1004 ; 532 ; 146 ; 51; 20 ; 9 ; 18; 5;  0; 0
DABP811.COB ; 603 ; 423 ; 134 ; 42; 20 ; 9 ; 18; 5;  0; 0
DABP815.COB ; 1499 ; 740 ; 169 ; 83; 25 ; 25 ; 24; 18;  0; 0
DABP820.COB ; 1318 ; 895 ; 312 ; 214; 26 ; 25 ; 25; 18;  0; 0
DABP840.COB ; 843 ; 408 ; 145 ; 34; 34 ; 34 ; 34; 24;  0; 0
DABP851.COB ; 732 ; 474 ; 123 ; 58; 32 ; 30 ; 31; 21;  0; 0
DABP860.COB ; 964 ; 657 ; 166 ; 80; 104 ; 121 ; 102; 61;  0; 0
DABP888.COB ; 612 ; 489 ; 112 ; 46; 47 ; 34 ; 45; 24;  0; 0
DABP936.COB ; 2076 ; 1021 ; 343 ; 139; 73 ; 78 ; 73; 40;  0; 0
DABS005.COB ; 2559 ; 1395 ; 733 ; 384; 5 ; 6 ; 5; 2;  0; 0
DABS010.COB ; 8435 ; 5637 ; 1995 ; 1133; 15 ; 13 ; 15; 7;  0; 0
DABS020.COB ; 4834 ; 3088 ; 1573 ; 803; 21 ; 19 ; 21; 11;  0; 0
DABS050.COB ; 5566 ; 3574 ; 1724 ; 894; 5 ; 6 ; 5; 2;  0; 0
DABS060.COB ; 6338 ; 4019 ; 1914 ; 976; 5 ; 6 ; 5; 2;  0; 0
DABS070.COB ; 4264 ; 2636 ; 1305 ; 663; 5 ; 6 ; 5; 2;  0; 0
DABS080.COB ; 4672 ; 3090 ; 1571 ; 880; 21 ; 19 ; 21; 11;  0; 0
DABS085.COB ; 1986 ; 1155 ; 704 ; 293; 5 ; 6 ; 5; 2;  0; 0
DABS090.COB ; 4786 ; 3103 ; 1448 ; 782; 5 ; 6 ; 5; 2;  0; 0
DABS095.COB ; 4163 ; 2751 ; 1448 ; 754; 5 ; 6 ; 5; 2;  0; 0
DABU001.COB ; 778 ; 659 ; 199 ; 100; 43 ; 39 ; 43; 25;  0; 0
DABU003.COB ; 791 ; 578 ; 157 ; 82; 64 ; 55 ; 60; 37;  0; 0
DABU005.COB ; 2339 ; 1465 ; 456 ; 201; 52 ; 39 ; 51; 27;  0; 0
DABU006.COB ; 3129 ; 2681 ; 1119 ; 550; 24 ; 27 ; 22; 13;  0; 0
DABU007.COB ; 1323 ; 1007 ; 358 ; 178; 40 ; 30 ; 40; 19;  0; 0
DABU008.COB ; 1055 ; 885 ; 323 ; 168; 31 ; 34 ; 31; 22;  0; 0
DABU009.COB ; 2097 ; 1737 ; 604 ; 302; 29 ; 16 ; 28; 11;  0; 0
DABU014.COB ; 1503 ; 1017 ; 316 ; 145; 27 ; 17 ; 25; 10;  0; 0
DABU015.COB ; 1193 ; 985 ; 371 ; 190; 32 ; 16 ; 31; 11;  0; 0
DABU023.COB ; 1003 ; 839 ; 305 ; 162; 31 ; 34 ; 31; 22;  0; 0
DABU500.COB ; 6785 ; 3873 ; 1530 ; 833; 20 ; 21 ; 20; 13;  0; 0
DABU998.COB ; 1606 ; 1439 ; 359 ; 132; 193 ; 112 ; 193; 74;  0; 0
DABU999.COB ; 1002 ; 928 ; 165 ; 81; 21 ; 21 ; 21; 13;  0; 0
DABVA05.COB ; 606 ; 444 ; 187 ; 86; 13 ; 11 ; 11; 5;  0; 0
DABVA10.COB ; 1085 ; 829 ; 325 ; 184; 15 ; 11 ; 13; 5;  0; 0
DABVA20.COB ; 1232 ; 884 ; 311 ; 214; 13 ; 11 ; 11; 5;  0; 0
DABVA50.COB ; 1002 ; 719 ; 237 ; 140; 13 ; 11 ; 11; 5;  0; 0
DABVA60.COB ; 1111 ; 793 ; 275 ; 178; 13 ; 11 ; 11; 5;  0; 0
DABVA70.COB ; 895 ; 694 ; 291 ; 150; 15 ; 11 ; 13; 5;  0; 0
DABVA80.COB ; 976 ; 708 ; 270 ; 163; 13 ; 11 ; 11; 5;  0; 0
DABVA85.COB ; 763 ; 584 ; 267 ; 115; 15 ; 11 ; 13; 5;  0; 0
DABVA90.COB ; 985 ; 758 ; 307 ; 166; 15 ; 11 ; 13; 5;  0; 0
DABVA95.COB ; 920 ; 690 ; 271 ; 162; 13 ; 11 ; 11; 5;  0; 0
HSAB050.COB ; 2356 ; 1445 ; 495 ; 242; 45 ; 42 ; 43; 29;  0; 0
HSAP004.COB ; 2938 ; 1774 ; 447 ; 258; 43 ; 47 ; 43; 30;  0; 0
HSAP005.COB ; 2383 ; 1570 ; 420 ; 219; 98 ; 97 ; 96; 58;  0; 0
HSAP008.COB ; 1428 ; 656 ; 232 ; 94; 27 ; 22 ; 25; 14;  0; 0
HSAP040.COB ; 1108 ; 819 ; 220 ; 121; 34 ; 40 ; 32; 26;  0; 0
HSAP060.COB ; 906 ; 550 ; 131 ; 47; 25 ; 11 ; 23; 7;  0; 0
HSAS300.COB ; 2208 ; 1161 ; 767 ; 300; 24 ; 23 ; 23; 14;  0; 0
HSAS301.COB ; 2545 ; 1052 ; 650 ; 251; 24 ; 23 ; 23; 14;  0; 0
HSAU002.COB ; 3181 ; 2491 ; 764 ; 401; 40 ; 31 ; 40; 20;  0; 0
HSAU300.COB ; 3859 ; 2351 ; 1023 ; 648; 43 ; 44 ; 43; 29;  0; 0
HSAU301.COB ; 3360 ; 2173 ; 759 ; 399; 18 ; 16 ; 16; 8;  0; 0
HSPB002.COB ; 3328 ; 969 ; 331 ; 156; 32 ; 27 ; 30; 19;  0; 0
HSPB020.COB ; 4123 ; 1328 ; 470 ; 234; 36 ; 30 ; 34; 22;  0; 0
HSPB025.COB ; 1771 ; 1257 ; 442 ; 207; 35 ; 30 ; 33; 22;  0; 0
HSPB029.COB ; 2508 ; 1896 ; 677 ; 305; 13 ; 11 ; 13; 6;  0; 0
HSPB032.COB ; 1087 ; 903 ; 280 ; 147; 32 ; 27 ; 30; 19;  0; 0
HSPB033.COB ; 1847 ; 1328 ; 470 ; 234; 36 ; 30 ; 34; 22;  0; 0
HSPB035.COB ; 2614 ; 1988 ; 750 ; 328; 13 ; 11 ; 13; 6;  0; 0
HSPB036.COB ; 1799 ; 1279 ; 454 ; 210; 35 ; 30 ; 33; 22;  0; 0
HSPB063.COB ; 2473 ; 1639 ; 528 ; 262; 34 ; 30 ; 32; 20;  0; 0
HSPB081.COB ; 1177 ; 573 ; 167 ; 70; 52 ; 30 ; 50; 19;  0; 0
HSPB929.COB ; 1566 ; 1204 ; 494 ; 232; 62 ; 53 ; 60; 37;  0; 0
HSPP017.COB ; 377 ; 286 ; 73 ; 18; 58 ; 43 ; 58; 18;  0; 0
HSPP018.COB ; 2697 ; 742 ; 301 ; 100; 33 ; 29 ; 31; 21;  0; 0
HSPP019.COB ; 370 ; 286 ; 73 ; 18; 58 ; 43 ; 58; 18;  0; 0
HSPP031.COB ; 679 ; 445 ; 158 ; 43; 29 ; 28 ; 27; 19;  0; 0
HSPP034.COB ; 1104 ; 749 ; 307 ; 101; 33 ; 29 ; 31; 21;  0; 0
HSPP040.COB ; 854 ; 430 ; 103 ; 36; 89 ; 70 ; 89; 35;  0; 0
HSPP064.COB ; 2412 ; 1911 ; 729 ; 367; 52 ; 38 ; 52; 21;  0; 0
HSPP068.COB ; 1275 ; 653 ; 238 ; 94; 24 ; 22 ; 22; 14;  0; 0
HSPP069.COB ; 3332 ; 2082 ; 811 ; 402; 25 ; 23 ; 25; 15;  0; 0
HSPP070.COB ; 1378 ; 273 ; 60 ; 18; 56 ; 32 ; 56; 18;  0; 0
HSPP085.COB ; 2423 ; 1032 ; 426 ; 180; 44 ; 29 ; 44; 16;  0; 0
HSPP087.COB ; 1088 ; 625 ; 137 ; 56; 37 ; 37 ; 37; 23;  0; 0
HSPP090.COB ; 951 ; 734 ; 253 ; 110; 58 ; 31 ; 56; 23;  0; 0
HSPP097.COB ; 3935 ; 3137 ; 2686 ; 1907; 53 ; 40 ; 52; 28;  0; 0
HSPP098.COB ; 2038 ; 1526 ; 538 ; 292; 32 ; 37 ; 30; 25;  0; 0
HSPP105.COB ; 3302 ; 1989 ; 670 ; 420; 33 ; 37 ; 33; 25;  0; 0
HSPP106.COB ; 1134 ; 844 ; 224 ; 122; 34 ; 40 ; 32; 26;  0; 0
HSPP107.COB ; 3493 ; 2202 ; 727 ; 455; 33 ; 37 ; 33; 25;  0; 0
HSPS302.COB ; 2237 ; 1158 ; 783 ; 311; 24 ; 23 ; 23; 14;  0; 0
HSPS303.COB ; 2883 ; 1802 ; 659 ; 262; 29 ; 26 ; 28; 16;  0; 0
HSPU005.COB ; 15911 ; 12784 ; 2844 ; 1715; 40 ; 31 ; 40; 20;  0; 0
HSPU010.COB ; 292 ; 280 ; 144 ; 59; 35 ; 26 ; 35; 18;  0; 0
HSPU011.COB ; 314 ; 296 ; 145 ; 49; 35 ; 26 ; 35; 18;  0; 0
HSPU300.COB ; 1542 ; 228 ; 40 ; 15; 39 ; 32 ; 39; 15;  0; 0
HSPU302.COB ; 6610 ; 2896 ; 1352 ; 859; 41 ; 40 ; 41; 26;  0; 0
HSPU303.COB ; 4944 ; 3609 ; 1035 ; 615; 20 ; 20 ; 20; 12;  0; 0
HSPU400.COB ; 1218 ; 176 ; 28 ; 13; 27 ; 21 ; 27; 13;  0; 0
HSPU500.COB ; 2146 ; 883 ; 296 ; 147; 26 ; 18 ; 24; 11;  0; 0
L62B480.COB ; 1132 ; 892 ; 256 ; 120; 184 ; 194 ; 184; 99;  0; 0
L62B481.COB ; 1688 ; 1318 ; 519 ; 281; 242 ; 271 ; 240; 155;  0; 0
L62P261.COB ; 2068 ; 1304 ; 597 ; 287; 37 ; 42 ; 37; 20;  0; 0
L62U019.COB ; 374 ; 128 ; 49 ; 10; 12 ; 11 ; 12; 5;  0; 0
L62U200.COB ; 1220 ; 825 ; 399 ; 177; 23 ; 16 ; 23; 10;  0; 0
L62U300.COB ; 551 ; 495 ; 159 ; 68; 30 ; 24 ; 29; 15;  0; 0
LADB140.COB ; 1665 ; 1447 ; 398 ; 219; 85 ; 98 ; 83; 57;  0; 0
LADB150.COB ; 8940 ; 8168 ; 3803 ; 2491; 415 ; 378 ; 413; 246;  0; 0
LADB200.COB ; 3250 ; 2248 ; 954 ; 514; 44 ; 41 ; 42; 27;  0; 0
LADB300.COB ; 2472 ; 1879 ; 701 ; 399; 70 ; 68 ; 69; 45;  0; 0
LADB400.COB ; 2487 ; 1733 ; 533 ; 315; 41 ; 34 ; 40; 25;  0; 0
LADB600.COB ; 2586 ; 1889 ; 627 ; 363; 41 ; 34 ; 40; 25;  0; 0
LADP100.COB ; 1471 ; 935 ; 239 ; 123; 45 ; 37 ; 45; 22;  0; 0
LADP110.COB ; 1749 ; 1119 ; 340 ; 196; 50 ; 39 ; 50; 25;  0; 0
LADP120.COB ; 1476 ; 770 ; 209 ; 101; 53 ; 42 ; 53; 27;  0; 0
LADP130.COB ; 4567 ; 1683 ; 559 ; 371; 22 ; 22 ; 22; 14;  0; 0
LADP310.COB ; 2498 ; 1469 ; 422 ; 257; 66 ; 71 ; 65; 44;  0; 0
LADP320.COB ; 848 ; 587 ; 164 ; 48; 49 ; 34 ; 49; 23;  0; 0
LADP330.COB ; 863 ; 593 ; 177 ; 58; 38 ; 39 ; 38; 24;  0; 0
LADP340.COB ; 734 ; 528 ; 193 ; 64; 28 ; 28 ; 28; 19;  0; 0
LADP350.COB ; 878 ; 498 ; 176 ; 53; 28 ; 28 ; 28; 19;  0; 0
LADP420.COB ; 1643 ; 990 ; 472 ; 241; 71 ; 82 ; 71; 51;  0; 0
LADP500.COB ; 1030 ; 778 ; 242 ; 103; 61 ; 73 ; 59; 40;  0; 0
LADP700.COB ; 591 ; 463 ; 101 ; 35; 44 ; 39 ; 42; 27;  0; 0
LADS010.COB ; 1773 ; 975 ; 594 ; 223; 31 ; 27 ; 29; 16;  0; 0
LADS011.COB ; 1757 ; 936 ; 578 ; 205; 5 ; 6 ; 3; 2;  0; 0
LADU100.COB ; 2304 ; 1400 ; 406 ; 285; 59 ; 60 ; 59; 32;  0; 0
LADU200.COB ; 1993 ; 1253 ; 524 ; 315; 26 ; 23 ; 26; 13;  0; 0
LADU300.COB ; 708 ; 454 ; 127 ; 67; 38 ; 31 ; 36; 21;  0; 0
LEDB150.COB ; 7431 ; 6915 ; 3413 ; 2168; 394 ; 360 ; 392; 233;  0; 0
LEDBW10.COB ; 1223 ; 796 ; 296 ; 148; 53 ; 40 ; 51; 28;  0; 0
LEDBW20.COB ; 1935 ; 1175 ; 372 ; 220; 83 ; 73 ; 81; 51;  0; 0
LEDBW30.COB ; 1111 ; 657 ; 215 ; 103; 26 ; 26 ; 24; 17;  0; 0
LEDBW40.COB ; 1143 ; 692 ; 231 ; 107; 71 ; 60 ; 69; 42;  0; 0
LEDP154.COB ; 836 ; 500 ; 172 ; 51; 24 ; 25 ; 22; 17;  0; 0
LEDS001.COB ; 1750 ; 917 ; 570 ; 192; 5 ; 6 ; 3; 2;  0; 0
LEDUB31.COB ; 1262 ; 938 ; 487 ; 236; 19 ; 20 ; 19; 8;  0; 0
LEDUB32.COB ; 692 ; 381 ; 211 ; 76; 19 ; 16 ; 19; 8;  0; 0
LEDUB33.COB ; 670 ; 363 ; 211 ; 76; 19 ; 16 ; 19; 8;  0; 0
LEDUT31.COB ; 2091 ; 1902 ; 961 ; 461; 21 ; 25 ; 21; 10;  0; 0
LEDUT32.COB ; 1233 ; 1074 ; 612 ; 290; 21 ; 25 ; 21; 10;  0; 0
LEDUT33.COB ; 1076 ; 921 ; 510 ; 239; 21 ; 25 ; 21; 10;  0; 0
LEDUW01.COB ; 3571 ; 2829 ; 1186 ; 737; 20 ; 12 ; 20; 7;  0; 0
LEDUW02.COB ; 1234 ; 993 ; 396 ; 265; 19 ; 12 ; 17; 6;  0; 0
LEDUW10.COB ; 2516 ; 2045 ; 1027 ; 722; 37 ; 52 ; 37; 27;  0; 0
LEDUW20.COB ; 747 ; 547 ; 195 ; 114; 32 ; 23 ; 30; 14;  0; 0
LITB120.COB ; 7831 ; 3684 ; 1142 ; 575; 38 ; 33 ; 36; 21;  0; 0
LITB125.COB ; 8951 ; 4630 ; 1357 ; 737; 38 ; 33 ; 36; 21;  0; 0
LITB130.COB ; 9396 ; 2535 ; 972 ; 503; 206 ; 190 ; 205; 127;  0; 0
LITB135.COB ; 5683 ; 2267 ; 941 ; 476; 136 ; 128 ; 134; 82;  0; 0
LITB150.COB ; 3472 ; 2053 ; 771 ; 395; 188 ; 232 ; 188; 166;  0; 0
LITB160.COB ; 1256 ; 965 ; 282 ; 150; 132 ; 142 ; 132; 83;  0; 0
LITB175.COB ; 5196 ; 1891 ; 677 ; 365; 33 ; 29 ; 31; 21;  0; 0
LITB207.COB ; 2236 ; 1452 ; 574 ; 292; 182 ; 182 ; 182; 102;  0; 0
LITB210.COB ; 3119 ; 1257 ; 396 ; 209; 33 ; 28 ; 31; 20;  0; 0
LITB212.COB ; 1028 ; 804 ; 257 ; 113; 193 ; 215 ; 191; 106;  0; 0
LITB226.COB ; 2712 ; 1784 ; 652 ; 332; 124 ; 132 ; 124; 87;  0; 0
LITB227.COB ; 3472 ; 2358 ; 832 ; 436; 139 ; 147 ; 139; 99;  0; 0
LITB229.COB ; 1246 ; 1078 ; 338 ; 162; 43 ; 36 ; 41; 24;  0; 0
LITB241.COB ; 1527 ; 1104 ; 415 ; 189; 160 ; 186 ; 158; 104;  0; 0
LITB260.COB ; 4787 ; 3294 ; 1264 ; 624; 99 ; 90 ; 99; 58;  0; 0
LITB305.COB ; 4268 ; 2999 ; 798 ; 397; 96 ; 108 ; 96; 68;  0; 0
LITB306.COB ; 3459 ; 2289 ; 650 ; 307; 96 ; 103 ; 96; 66;  0; 0
LITB401.COB ; 1671 ; 1147 ; 382 ; 185; 39 ; 33 ; 37; 24;  0; 0
LITB402.COB ; 4443 ; 3064 ; 1215 ; 722; 128 ; 141 ; 126; 82;  0; 0
LITB925.COB ; 9031 ; 7885 ; 2657 ; 1845; 383 ; 372 ; 381; 235;  0; 0
LITC501.COB ; 2902 ; 2432 ; 1141 ; 607; 43 ; 34 ; 41; 17;  0; 0
LITC502.COB ; 2333 ; 1960 ; 913 ; 485; 45 ; 37 ; 43; 18;  0; 0
LITC503.COB ; 2333 ; 1960 ; 913 ; 485; 45 ; 37 ; 43; 18;  0; 0
LITC504.COB ; 2376 ; 2001 ; 930 ; 497; 47 ; 40 ; 45; 19;  0; 0
LITC505.COB ; 3290 ; 2770 ; 1467 ; 776; 42 ; 37 ; 40; 17;  0; 0
LITC506.COB ; 3293 ; 2772 ; 1473 ; 778; 42 ; 37 ; 40; 17;  0; 0
LITC507.COB ; 2500 ; 2173 ; 996 ; 556; 45 ; 37 ; 43; 18;  0; 0
LITC508.COB ; 4399 ; 3566 ; 1948 ; 947; 40 ; 34 ; 38; 16;  0; 0
LITC509.COB ; 2216 ; 1851 ; 864 ; 459; 37 ; 24 ; 35; 14;  0; 0
LITC510.COB ; 4820 ; 4000 ; 2088 ; 1077; 44 ; 37 ; 42; 17;  0; 0
LITC511.COB ; 3697 ; 3120 ; 1634 ; 833; 23 ; 20 ; 23; 8;  0; 0
LITC512.COB ; 4331 ; 3417 ; 1937 ; 931; 44 ; 40 ; 42; 18;  0; 0
LITC513.COB ; 3326 ; 2823 ; 1513 ; 780; 42 ; 37 ; 40; 17;  0; 0
LITP100.COB ; 4512 ; 3482 ; 1347 ; 431; 100 ; 77 ; 98; 47;  0; 0
LITP105.COB ; 6872 ; 4155 ; 1467 ; 731; 182 ; 127 ; 181; 93;  0; 0
LITP110.COB ; 12951 ; 6243 ; 3172 ; 1542; 40 ; 37 ; 38; 26;  0; 0
LITP115.COB ; 7477 ; 2619 ; 1078 ; 455; 28 ; 27 ; 26; 17;  0; 0
LITP165.COB ; 1448 ; 887 ; 314 ; 114; 56 ; 46 ; 54; 31;  0; 0
LITP170.COB ; 6568 ; 3715 ; 1481 ; 847; 47 ; 52 ; 45; 33;  0; 0
LITP200.COB ; 13310 ; 5683 ; 2459 ; 1220; 29 ; 26 ; 28; 19;  0; 0
LITP208.COB ; 3161 ; 1491 ; 564 ; 255; 43 ; 48 ; 43; 23;  0; 0
LITP214.COB ; 4371 ; 943 ; 441 ; 147; 58 ; 35 ; 56; 24;  0; 0
LITP216.COB ; 2110 ; 1312 ; 361 ; 135; 41 ; 21 ; 41; 14;  0; 0
LITP217.COB ; 2979 ; 1305 ; 409 ; 219; 100 ; 109 ; 100; 60;  0; 0
LITP218.COB ; 2819 ; 1047 ; 405 ; 238; 184 ; 197 ; 182; 128;  0; 0
LITP219.COB ; 2155 ; 766 ; 278 ; 103; 41 ; 33 ; 41; 23;  0; 0
LITP220.COB ; 1829 ; 872 ; 309 ; 147; 85 ; 96 ; 84; 61;  0; 0
